SBS_Code,SBS_Code_Hyphenated,Short_Description,Long_Description,Chapter,Chapter_Name,Block,Block_Name,Definition,Includes,Excludes ,Guidelines,
900010100,90001-01-00,R/O ventricular reservoir,Removal of ventricular reservoir,1,Procedures on nervous system ,4,Removal of intracranial cerebrospinal fluid devices,,"Removal of Reservoir:
• Ommaya
• Rickham's",That with Replacement (39015-00-00 [3]),,
900010200,90001-02-00,R/O ICP monitoring device,Removal of Intracranial pressure [ICP] monitoring device,1,Procedures on nervous system ,4,Removal of intracranial cerebrospinal fluid devices,Removal of a device that is placed inside the head. the monitor senses the pressure inside the skull and sends measurements to a recording device,,That with Replacement (39015-00-00 [3]),,
400030000,40003-00-00,Insertion of ventriculo-atrial shunt,Insertion of ventriculo-atrial shunt,1,Procedures on nervous system ,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt",Ventriculoatrial shunt (vas) placement enables cerebrospinal fluid (csf) to flow from the cerebral ventricular system to the atrium of the heart.,,"Insertion of External Ventricular Drain (39015-00-00 [3])
Revision of Cerebrospinal Fluid Shunt (40009-00-00, 40009-01-00 [24])
","Code also when performed:
• neuroendoscopy (40903-00-00 [1])",
400030100,40003-01-00,Insertion of ventriculopleural shunt,Insertion of ventriculopleural shunt,1,Procedures on nervous system ,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt","Insertion of an alternative option for the diversion of csf and relief of hydrocephalus. in this technique, the distal catheter is placed in the pleural space. an alternative to a ventriculoperitoneal shunt",,"Insertion of External Ventricular Drain (39015-00-00 [3])
Revision of Cerebrospinal Fluid Shunt (40009-00-00, 40009-01-00 [24])
","Code also when performed:
• neuroendoscopy (40903-00-00 [1])",
400030200,40003-02-00,Insertion of ventriculoperitoneal shunt,Insertion of ventriculoperitoneal shunt,1,Procedures on nervous system ,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt",,Ventriculoperitoneostomy,"Insertion of External Ventricular Drain (39015-00-00 [3])
Revision of Cerebrospinal Fluid Shunt (40009-00-00, 40009-01-00 [24])
","Code also when performed:
• neuroendoscopy (40903-00-00 [1])",
400030300,40003-03-00,Ins ventric shunt to oth extrcran site,Insertion of ventricular shunt to other extracranial site,1,Procedures on nervous system ,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt",A tube that is surgically placed in one of the fluid-filled chambers inside the brain (ventricles),,"Insertion of External Ventricular Drain (39015-00-00 [3])
Revision of Cerebrospinal Fluid Shunt (40009-00-00, 40009-01-00 [24])
","Code also when performed:
• neuroendoscopy (40903-00-00 [1])",
400030400,40003-04-00,Insertion of cisternal shunt,Insertion of cisternal shunt,1,Procedures on nervous system ,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt",,"Insertion of Shunt:
• Cisterno-atrial
• Cisternoperitoneal
• Cisternopleural","Insertion of External Ventricular Drain (39015-00-00 [3])
Revision of Cerebrospinal Fluid Shunt (40009-00-00, 40009-01-00 [24])
","Code also when performed:
• neuroendoscopy (40903-00-00 [1])",
400090300,40009-03-00,R/O  ventricular shunt,Removal of ventricular shunt,1,Procedures on nervous system ,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt",Removal of a tube that is surgically placed in one of the fluid-filled chambers inside the brain (ventricles),,"Insertion of External Ventricular Drain (39015-00-00 [3])
Revision of Cerebrospinal Fluid Shunt (40009-00-00, 40009-01-00 [24]).

That with Replacement (40009-00-00 [24])","Code also when performed:
• neuroendoscopy (40903-00-00 [1])",
400090400,40009-04-00,R/O  cisternal shunt,Removal of cisternal shunt,1,Procedures on nervous system ,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt",Removal of a device permanently implanted inside the head and body to drain excess fluid away from the brain,,"Insertion of External Ventricular Drain (39015-00-00 [3])
Revision of Cerebrospinal Fluid Shunt (40009-00-00, 40009-01-00 [24]).

That with Replacement (40009-00-00 [24])","Code also when performed:
• neuroendoscopy (40903-00-00 [1])",
900020000,90002-00-00,Irrigation of cerebrospinal fluid shunt,Irrigation of cerebrospinal fluid shunt,1,Procedures on nervous system ,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt",Reducing bacteria from the operating field and wound can be considered an effective procedure for preventing shunt infection,,"Insertion of External Ventricular Drain (39015-00-00 [3])
Revision of Cerebrospinal Fluid Shunt (40009-00-00, 40009-01-00 [24])","Code also when performed:
• neuroendoscopy (40903-00-00 [1])",
407090000,40709-00-00,Ins intrcran elec v bur holes,Insertion of intracranial electrode via burr holes,1,Procedures on nervous system ,6,"Other application, insertion or removal procedures on skull, meninges or brain",,"Insertion of Extension, Wire Connecting Electrodes to Neurostimulator
Deep Brain Stimulation
Implantation of Intracranial Electrode",,"
Performed for:
	• epilepsy
	• multiple sclerosis
	• pain control
	• Parkinson's disease

Code also when performed:
• intracranial stereotactic localization (40803-00-00 [1])
• subcutaneous implantation of neurostimulator (39134-01-00 [1604])",
407090100,40709-01-00,R/O intrcran elec v burr holes,Removal of intracranial electrode via burr holes,1,Procedures on nervous system ,6,"Other application, insertion or removal procedures on skull, meninges or brain",,Removal of Extension Wire Connecting Electrodes to Neurostimulator,That with Replacement (40709-03-00 [6]),,
407090200,40709-02-00,Adjust intrcran elec v bur holes,Adjustment of intracranial electrodes via burr holes,1,Procedures on nervous system ,6,"Other application, insertion or removal procedures on skull, meninges or brain",,"Revision of Extension Wire Connecting Electrodes to Neurostimulator
Revision of Intracranial Electrodes via Burr Holes",,,
407090300,40709-03-00,Replace intrcran elec v bur holes,Replacement of intracranial electrodes via burr holes,1,Procedures on nervous system ,6,"Other application, insertion or removal procedures on skull, meninges or brain",,Replacement of Extension Wire Connecting Electrodes to Neurostimulator,,,
407120000,40712-00-00,Ins intrcran elec v crniotmy,Insertion of intracranial electrode via craniotomy,1,Procedures on nervous system ,6,"Other application, insertion or removal procedures on skull, meninges or brain",,"Insertion of Extension Wire Connecting Electrodes to Neurostimulator
Deep Brain Stimulation",,"
Performed for:
	• epilepsy
	• multiple sclerosis
	• pain control
	• Parkinson's disease",
407120100,40712-01-00,R/O intrcran elec v craniotomy,Removal of intracranial electrode via craniotomy,1,Procedures on nervous system ,6,"Other application, insertion or removal procedures on skull, meninges or brain",,Removal of Extension Wire Connecting Electrodes to Neurostimulator,That with Replacement (40709-03-00 [6]),,
407120200,40712-02-00,Adjust intrcran elec v crniotmy,Adjustment of intracranial electrodes via craniotomy,1,Procedures on nervous system ,6,"Other application, insertion or removal procedures on skull, meninges or brain",,"Revision of Extension Wire Connecting Electrodes to Neurostimulator
Revision of Intracranial Electrodes via Craniotomy",,,
407120300,40712-03-00,Replace intrcran elec v crniotmy,Replacement of intracranial electrodes via craniotomy,1,Procedures on nervous system ,6,"Other application, insertion or removal procedures on skull, meninges or brain",,Replacement of Extension Wire Connecting Electrodes to Neurostimulator,,,
477050000,47705-00-00,Insertion of skull caliper,Insertion of skull caliper,1,Procedures on nervous system ,6,"Other application, insertion or removal procedures on skull, meninges or brain",,Insertion of Skull tongs,"That for Spinal Fracture or Dislocation (47684-00-00, 47687-00-00 [1381], 47690-00-00, 47693-00-00 [1387])",,
390120000,39012-00-00,Burr holes,Burr holes,1,Procedures on nervous system ,7,Incisional exploration of meninges or brain,,"Burr Holes for:
• Brachytherapy
• Inspection Purpose
Intracranial Exploration",That As Operative Approach for Surgery – Omit Code,,
396000000,39600-00-00,Drainage of intracranial haemorrhage,Drainage of intracranial haemorrhage,1,Procedures on nervous system ,8,Intracranial drainage,,"That via Burr Hole
Drainage of Haemorrhage:
• Extradural
• Intracerebral
• Subdural","Cerebrospinal Fluid Shunt (40003-00-00 [5], 40000-00-00, 40012-00-00 [19]).
Postoperative Reopening of Craniotomy or Craniectomy Site (39721-00-00 [10])
Removal of Intracranial Haematoma:
• via Osteoplastic Craniotomy (39603-00-00 [14])
• with Craniectomy (39603-01-00 [14])
Tap of Subdural Haemorrhage Through Fontanelle (39009-00-00 [2])",,
397030100,39703-01-00,Drainage of intracranial lesion or cyst,Drainage of intracranial lesion or cyst,1,Procedures on nervous system ,8,Intracranial drainage,,"That via Burr Hole
Intracranial Drainage Nos","Cerebrospinal Fluid Shunt (40003-00-00 [5], 40000-00-00, 40012-00-00 [19]).

That of Infected Cyst (39900-00-00 [8])",,
399000000,39900-00-00,Drainage of intracranial infection,Drainage of intracranial infection,1,Procedures on nervous system ,8,Intracranial drainage,,"That via Burr Hole
Drainage of:
• Infected Brain Cyst
• Intracranial Abscess","Cerebrospinal Fluid Shunt (40003-00-00 [5], 40000-00-00, 40012-00-00 [19]).

Postoperative Reopening of Craniotomy or Craniectomy Site (39721-00-00 [10])",,
397060100,39706-01-00,Decomp intrcran tum v osteoplc crniotmy,Decompression of intracranial tumour via osteoplastic craniotomy,1,Procedures on nervous system ,9,Intracranial decompression,,Osteoplastic Flap,,,
400150000,40015-00-00,Subtemporal decompression,Subtemporal decompression,1,Procedures on nervous system ,9,Intracranial decompression,Relief of intracranial pressure by excision of a portion of the temporal bone,,,,
401060000,40106-00-00,Hind brain decompression,Hind brain decompression,1,Procedures on nervous system ,9,Intracranial decompression,,"Duraplasty
Decompression:
• of Arnold-Chiari Malformation
• of Chiari Malformation",,,
401060100,40106-01-00,Posterior cranial fossa decompression,Posterior cranial fossa decompression,1,Procedures on nervous system ,9,Intracranial decompression,,"Duraplasty
Decompression for Syringomyelia",,,
397210000,39721-00-00,Postop reopn of crniotmy/crniectmy site,Postoperative re-opening of craniotomy or craniectomy site,1,Procedures on nervous system ,10,Postoperative reopening of craniotomy or craniectomy site,,"Removal of Skull Flap
That via Osteoplastic Flap
Decompression of Oedema Postoperative
Drainage of: (Postoperative)
• Haemorrhage	
• Infection	
Removal of: (Postoperative)
• Abscess	
• Haematoma	",,,
354120000,35412-00-00,Endovas occl cerebral aneur / AV malform,Endovascular occlusion of cerebral aneurysm or arteriovenous malformation,1,Procedures on nervous system ,11,Destruction of intracranial aneurysm or other vascular lesion,,"Administration of:
• Coils
• Intracranial:
• Balloons
• Stents
Catheterization
Transcatheter Embolization of Cerebral Aneurysm or Arteriovenous Malformation",,,
398000000,39800-00-00,Clipping of cerebral aneurysm,Clipping of cerebral aneurysm,1,Procedures on nervous system ,11,Destruction of intracranial aneurysm or other vascular lesion,A small metal clip is used to stop blood flow into the aneurysm,,,,
398060000,39806-00-00,Clipping of intracranial proximal artery,Clipping of intracranial proximal artery,1,Procedures on nervous system ,11,Destruction of intracranial aneurysm or other vascular lesion,Temporary clip occlusion of the proximal artery,,,"
Performed for aneurysm or arteriovenous malformation",
398120000,39812-00-00,Ligtn cerv vessel for intrcran aneurysm,Ligation of cervical vessel for intracranial aneurysm,1,Procedures on nervous system ,11,Destruction of intracranial aneurysm or other vascular lesion,Simple surgical clipping refers to the practice of the exposure of the aneurysmal neck via craniotomy and the exclusion of the entire abnormal vascular wall from the circulation using single or multiple clips,,,,
398150000,39815-00-00,Obliteration carotid cavernous fistula,Obliteration of carotid cavernous fistula,1,Procedures on nervous system ,11,Destruction of intracranial aneurysm or other vascular lesion,,Combined Cervical and Intracranial Procedure,,,
397030000,39703-00-00,Biopsy of brain via burr holes,Biopsy of brain via burr holes,1,Procedures on nervous system ,12,Biopsy of brain or meninges,,Closed Biopsy of Brain,That with Neuroendoscopy (40903-01-00 [12]),,
397030200,39703-02-00,Bx of cerebral meninges via burr holes,Biopsy of cerebral meninges via burr holes,1,Procedures on nervous system ,12,Biopsy of brain or meninges,,Closed Biopsy of Cerebral Meninges,,,
397060000,39706-00-00,Bx of brain via osteoplastic craniotomy,Biopsy of brain via osteoplastic craniotomy,1,Procedures on nervous system ,12,Biopsy of brain or meninges,,"Open Biopsy of Brain
Osteoplastic Flap",,,
397060200,39706-02-00,Bx cerebral meninges  osteoplc crniotmy,Biopsy of cerebral meninges via osteoplastic craniotomy,1,Procedures on nervous system ,12,Biopsy of brain or meninges,A procedure in which a sample of cerebral meninges tissue is removed (with a needle or during surgery) for examination under a microscope via osteoplastic craniotomy,"Osteoplastic Flap
Open Biopsy of Cerebral Meninges",,,
409030100,40903-01-00,Biopsy of brain via neuroendoscopy,Biopsy of brain via neuroendoscopy,1,Procedures on nervous system ,12,Biopsy of brain or meninges,A procedure in which a sample of brain tissue is removed (with a needle or during surgery) for examination under a microscope via neuroendoscopy,"Burr Holes
Intraventricular Neuroendoscopy with Biopsy",,,
397000000,39700-00-00,Excision of lesion of skull,Excision of lesion of skull,1,Procedures on nervous system ,13,Excision of lesion of skull,,That for Infection,,"Code also when performed:
• cranioplasty (40600-00-00 [23])",
399060000,39906-00-00,Craniectomy for infection of skull,Craniectomy for infection of skull,1,Procedures on nervous system ,13,Excision of lesion of skull,,"That for Infection
Craniectomy for Osteomyelitis
Debridement of Skull for Infection
Removal of Infected Skull Flap
Sequestrectomy of Skull",,,
396030000,39603-00-00,R/O intrcran haemtma v osteoplc crniotmy,Removal of intracranial haematoma via osteoplastic craniotomy,1,Procedures on nervous system ,14,Removal of intracranial haematoma or abscess,Removal of a blood clot from around the surface of the brain,Removal of Intracranial Haematoma via Osteoplastic Flap,"Drainage via Burr Holes (39600-00-00, 39900-00-00 [8])
Postoperative Reopening of Craniotomy or Craniectomy Site (39721-00-00 [10])",,
396030100,39603-01-00,R/O intrcran haematoma w crniectmy,Removal of intracranial haematoma with craniectomy,1,Procedures on nervous system ,14,Removal of intracranial haematoma or abscess,"Simple aspiration involves using a ct scan to locate the abscess and then drilling a small hole known as a ""burr hole"" into the skull",,"Drainage via Burr Holes (39600-00-00, 39900-00-00 [8])
Postoperative Reopening of Craniotomy or Craniectomy Site (39721-00-00 [10])",,
399030000,39903-00-00,R/O  intracranial abscess,Removal of intracranial abscess,1,Procedures on nervous system ,14,Removal of intracranial haematoma or abscess,"Simple aspiration involves using a ct scan to locate the abscess and then drilling a small hole known as a ""burr hole"" into the skull",,"Drainage via Burr Holes (39600-00-00, 39900-00-00 [8])
Postoperative Reopening of Craniotomy or Craniectomy Site (39721-00-00 [10])",,
397090000,39709-00-00,R/O  lesion  cerebrum,Removal of lesion of cerebrum,1,Procedures on nervous system ,15,Removal of intracranial lesion,Remove large lesions through small openings in the brainstem,Partial Lobectomy of Brain for Tumour,"That by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])
",,
397090100,39709-01-00,R/O  lesion  brain stem,Removal of lesion of brain stem,1,Procedures on nervous system ,15,Removal of intracranial lesion,Surgical removal of the lesion of brainstem,,"That by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])
",,
397090200,39709-02-00,R/O  lesion  cerebellum,Removal of lesion of cerebellum,1,Procedures on nervous system ,15,Removal of intracranial lesion,Surgical removal of the lesion of cerebellum,,"That by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])
",,
397120000,39712-00-00,R/O  lesion  cerebral meninges,Removal of lesion of cerebral meninges,1,Procedures on nervous system ,15,Removal of intracranial lesion,Endoscopic removal of intraventricular tumors is interruption of the blood supply to the tumor,,"That by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])
",,
397120300,39712-03-00,R/O  intraventricular lesion,Removal of intraventricular lesion,1,Procedures on nervous system ,15,Removal of intracranial lesion,Endoscopic removal of intraventricular tumors is interruption of the blood supply to the tumor,,"That by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])
",,
397120400,39712-04-00,R/O  other intracranial lesion,Removal of other intracranial lesion,1,Procedures on nervous system ,15,Removal of intracranial lesion,,Removal of Intracranial Tumour Nos,"That by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])
",,
415750000,41575-00-00,R/O lesion of cerebellopontine angle,Removal of lesion of cerebellopontine angle,1,Procedures on nervous system ,15,Removal of intracranial lesion,,"That via Craniotomy
Removal of Acoustic Neuroma","That by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])
",,
397180000,39718-00-00,R/O  brain cyst,Removal of brain cyst,1,Procedures on nervous system ,16,Other intracranial excision,,"Marsupialization of Brain (Cyst)
Removal of Arachnoidal (Cyst)","Excision by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])",,
398030000,39803-00-00,Exc intrcran arteriovenous malformation,Excision of intracranial arteriovenous malformation,1,Procedures on nervous system ,16,Other intracranial excision,Surgical removal of cerebral arteriovenous malformations,,"Excision by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])",,
407000000,40700-00-00,Anterior section of corpus callosum,Anterior section of corpus callosum,1,Procedures on nervous system ,16,Other intracranial excision,,"Corpus Callosotomy
Division of Corpus Callosum","Excision by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])",,
407030000,40703-00-00,Corticectomy of brain,Corticectomy of brain,1,Procedures on nervous system ,16,Other intracranial excision,Surgical procedure done to remove a specific portion of the cerebral cortex,,"Excision by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17]).

topectomy (40703-01-00 [16])",,
407030100,40703-01-00,Topectomy,Topectomy,1,Procedures on nervous system ,16,Other intracranial excision,"The excision of parts of the frontal cortex of the brain, typically for the relief of epilepsy",,"Excision by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])",,
407030200,40703-02-00,Partial lobectomy of brain,Partial lobectomy of brain,1,Procedures on nervous system ,16,Other intracranial excision,,"Amygdala Hippocampectomy
Hippocampectomy","Excision by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17]).

topectomy (40703-01-00 [16])",,
407060000,40706-00-00,Hemispherectomy,Hemispherectomy,1,Procedures on nervous system ,16,Other intracranial excision,Rare surgery where half of the brain is either removed or disconnected from the other half,,"Excision by Skull Base Surgery (39640-00-00, 39642-00-00, 39646-00-00, 41581-00-00, 39650-00-00, 39653-00-00, 39658-00-00, 39660-02-00, 39662-02-00, 90032-00-00 [17])",,
396400000,39640-00-00,R/O lesion inv ant cranial fossa,Removal of lesion involving anterior cranial fossa,1,Procedures on nervous system ,17,Skull base surgery for lesion,,"Any Associated Reparative or Reconstructive Surgery
That for Vascular Lesions

Code Details:
Craniotomy
Dural Repair
Radical Excision of Skull Base",,,
396420000,39642-00-00,R/O lsn ant cran fsa w clr paransl sinus,Removal of lesion involving anterior cranial fossa with clearance of paranasal sinus extension,1,Procedures on nervous system ,17,Skull base surgery for lesion,,"Any Associated Reparative or Reconstructive Surgery
That for Vascular Lesions

Code Details:
Craniotomy
Dural Repair
Radical Excision of Skull Base",,,
396460000,39646-00-00,R/O lsn ant cran fsa & clr sinus & fsa,Removal of lesion involving anterior cranial fossa with radical clearance of paranasal sinus and orbital fossa extensions,1,Procedures on nervous system ,17,Skull base surgery for lesion,,"Any Associated Reparative or Reconstructive Surgery
That for Vascular Lesions

Code Details:
Craniotomy
Dural Repair
Radical Excision of Skull Base",,,
396500000,39650-00-00,R/O lsn mid cran & infratemporal fossae,Removal of lesion involving middle cranial and infratemporal fossae,1,Procedures on nervous system ,17,Skull base surgery for lesion,,"Any Associated Reparative or Reconstructive Surgery
That for Vascular Lesions

Code Details:
Craniotomy
Dural Repair
Radical Excision of Skull Base",,,
396530000,39653-00-00,R/O lesion of petroclivus and clivus,Removal of lesion of petroclivus and clivus,1,Procedures on nervous system ,17,Skull base surgery for lesion,,"Any Associated Reparative or Reconstructive Surgery
That for Vascular Lesions

Code Details:
Craniotomy
Dural Repair
Radical Excision of Skull Base",,,
396580000,39658-00-00,Excision of lesion of clivus,Excision of lesion of clivus,1,Procedures on nervous system ,17,Skull base surgery for lesion,,"Any Associated Reparative or Reconstructive Surgery
That for Vascular Lesions

Code Details:
Craniotomy
Dural Repair
Radical Excision of Skull Base",,,
396600200,39660-02-00,Exc lesion of cavernous sinus,Excision of lesion of cavernous sinus,1,Procedures on nervous system ,17,Skull base surgery for lesion,,"With Intracranial Carotid Artery Exposure.
Any Associated Reparative or Reconstructive Surgery
That for Vascular Lesions",,,
396620200,39662-02-00,Excision of lesion of foramen magnum,Excision of lesion of foramen magnum,1,Procedures on nervous system ,17,Skull base surgery for lesion,,"With Intracranial Carotid Artery Exposure.
Any Associated Reparative or Reconstructive Surgery
That for Vascular Lesions",,,
415810000,41581-00-00,R/O lesion inv infratemporal fossa,Removal of lesion involving infratemporal fossa,1,Procedures on nervous system ,17,Skull base surgery for lesion,,"With Intracranial Carotid Artery Exposure.
Any Associated Reparative or Reconstructive Surgery
That for Vascular Lesions",,,
900320000,90032-00-00,R/O lesion inv post cranial fossa,Removal of lesion involving posterior cranial fossa,1,Procedures on nervous system ,17,Skull base surgery for lesion,,"With Intracranial Carotid Artery Exposure.
Any Associated Reparative or Reconstructive Surgery
That for Vascular Lesions",,,
400000000,40000-00-00,Ventriculocisternostomy,Ventriculocisternostomy,1,Procedures on nervous system ,19,Ventriculostomy,,Torkildsen's Procedure,"Cerebrospinal Fluid Shunt (40003-00-00 [5])
Insertion of External Ventricular Drain (39015-00-00 [3])
",,
400120000,40012-00-00,Endoscopic third ventriculostomy,Endoscopic third ventriculostomy,1,Procedures on nervous system ,19,Ventriculostomy,,Septum Pellucidotomy,"Cerebrospinal Fluid Shunt (40003-00-00 [5])
Insertion of External Ventricular Drain (39015-00-00 [3])
",,
400120100,40012-01-00,Third ventriculostomy,Third ventriculostomy,1,Procedures on nervous system ,19,Ventriculostomy,,Septum Pellucidotomy,"Cerebrospinal Fluid Shunt (40003-00-00 [5])
Insertion of External Ventricular Drain (39015-00-00 [3])
",,
396150000,39615-00-00,Repair of dura of brain via craniotomy,Repair of dura of brain via craniotomy,1,Procedures on nervous system ,20,Repair of dura of brain,,"Dural (Fat) Graft
Duraplasty
Repair of Cerebral Meninges
Craniotomy","That With:
• Intracranial Decompression (40106-00-00, 40106-01-00 [9])
• Plugging of Obex (40339-00-00 [22])
• Reduction of Skull Fracture (39612-00-00 [25])
• Skull Base Surgery for Lesion Involving Anterior Cranial Fossa (39640-00-00, 39642-00-00, 39646-00-00 [17])

That with Cranioplasty (39615-01-00 [20])","Code also when performed:
• procurement of fat for graft via separate incision (45018-04-00 [1666])",
396150100,39615-01-00,Repair dura brain v crniotmy w crnioply,Repair of dura of brain via craniotomy with cranioplasty,1,Procedures on nervous system ,20,Repair of dura of brain,,"Dural (Fat) Graft
Duraplasty
Repair of Cerebral Meninges
Delayed Repair of Dura Following Fractured Skull with Cranioplasty","That With:
• Intracranial Decompression (40106-00-00, 40106-01-00 [9])
• Plugging of Obex (40339-00-00 [22])
• Reduction of Skull Fracture (39612-00-00 [25])
• Skull Base Surgery for Lesion Involving Anterior Cranial Fossa (39640-00-00, 39642-00-00, 39646-00-00 [17])","Code also when performed:
• procurement of fat for graft via separate incision (45018-04-00 [1666])",
398180000,39818-00-00,Extrcran to intrcran byps w tmpl art gft,Extracranial to intracranial bypass with superficial temporal artery graft,1,Procedures on nervous system ,21,Extracranial to intracranial bypass,Technique that allows the blood supply from the extracranial carotid circulation to be routed to the distal middle cerebral artery branches,,,,
